"","V1","V2"
"1",148.503883422535,73.7537342224569
"2",147.689255985222,78.6661511978829
"3",144.43479422498,83.1258094683877
"4",140.293967194924,86.7651470363469
"5",133.514679734117,89.8938087279089
"6",126.707132058163,91.2461937711485
"7",119.91663781542,91.4703367289938
"8",113.074851373797,90.5439169362081
"9",106.648870419907,87.8494699139092
"10",101.59266978288,84.1026308621062
"11",97.8821842258921,79.6684402462245
"12",95.2759309739659,75.1495012387654
"13",93.9987478286295,70.6137525104584
"14",94.0697231303188,66.4910711372697
"15",95.5478125924059,62.6913110154593
"16",98.8692283378462,59.3111491587306
"17",103.999655967196,56.3169824710579
"18",109.629739948236,54.1004035103943
"19",116.527097498242,52.4864543427989
"20",123.242127631215,52.7187290648308
"21",130.531793223803,54.6964491303288
"22",137.545680530572,58.0426434516921
"23",142.96215254957,62.3844543842959
"24",146.986788700693,67.6250816411189
"25",148.424836936107,73.0222956372869
