"","V1","V2"
"1",183.273878020723,73.2989672156136
"2",180.775402481906,85.6073260812834
"3",176.143641524511,98.1818002215969
"4",166.964624805674,111.04295293542
"5",154.120424993382,121.111389525518
"6",138.466016271051,127.415792254606
"7",121.678490635575,128.75997962869
"8",105.515092811108,124.886338319302
"9",92.1565172272543,116.765932357422
"10",82.6372381565225,104.828121222123
"11",77.5659859282297,91.9845886179598
"12",75.315628899081,80.74840108128
"13",75.0502682738433,71.3078728318219
"14",75.6713328777965,62.427212471053
"15",77.9504602988261,52.4959795896737
"16",82.5627091941604,42.371010737623
"17",89.9566543447096,30.6195684955498
"18",102.03500189868,22.7360086492724
"19",117.105614196707,16.3999165991176
"20",134.432273860501,15.1997178422662
"21",151.584745075302,20.0450285962089
"22",166.213426696982,30.3481308012839
"23",176.59181451931,44.3739822689646
"24",181.828724810118,59.0215644358575
"25",183.53763654248,71.555234189611
