"","V1","V2"
"1",167.966050478103,73.893880014457
"2",166.215578231829,82.2987185906138
"3",161.05982517599,90.3251396060012
"4",152.947782670303,97.6118369142464
"5",143.387041825698,103.757749519285
"6",132.351953896158,107.363600598954
"7",121.043228449771,107.618618842453
"8",109.904270591919,105.133579623291
"9",100.357313421103,100.050206956217
"10",92.6916840338121,92.8953772076695
"11",87.3451324318028,85.4965489149612
"12",84.2768373671359,77.8071990787944
"13",83.3077729250041,71.0929833581366
"14",84.9345750529277,64.6741313316398
"15",87.3837133164397,58.295278295329
"16",90,51
"17",100,41
"18",106.263354381182,39.8993875344114
"19",116.612951199595,37.1713837514202
"20",128.395306358669,36.9044640844995
"21",140.078622360854,39.8657852951379
"22",151.129444516323,45.812744452197
"23",159.78005297695,54.0217237407128
"24",166.596215171065,63.2614954758932
"25",167.979559876042,72.6760406642604
